#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=30.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:62 out:59 type:P dur:2 cpbdur:2 q:36.03 aq:25.64 tex:5932 mv:655 misc:1581 imb:54 pmb:171 smb:7935 d:- ref:0 ;
in:60 out:60 type:B dur:2 cpbdur:2 q:36.03 aq:37.28 tex:32 mv:8 misc:424 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:59 out:61 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:12 misc:412 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:36.03 aq:25.86 tex:22 mv:12 misc:398 imb:1 pmb:0 smb:8159 d:- ref:0 ;
in:66 out:63 type:P dur:2 cpbdur:2 q:36.03 aq:27.21 tex:2490 mv:248 misc:878 imb:17 pmb:72 smb:8071 d:- ref:0 ;
in:64 out:64 type:B dur:2 cpbdur:2 q:36.03 aq:33.55 tex:406 mv:55 misc:435 imb:2 pmb:6 smb:8152 d:- ref:0 ;
in:63 out:65 type:b dur:2 cpbdur:2 q:36.03 aq:25.85 tex:25 mv:28 misc:411 imb:1 pmb:5 smb:8154 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:2 mv:17 misc:397 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:36.03 aq:24.72 tex:693 mv:180 misc:583 imb:14 pmb:16 smb:8130 d:- ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:1 mv:10 misc:413 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:1 mv:6 misc:401 imb:0 pmb:3 smb:8157 d:- ref:0 ;
in:74 out:71 type:P dur:2 cpbdur:2 q:36.03 aq:25.90 tex:885 mv:107 misc:496 imb:11 pmb:6 smb:8143 d:- ref:0 ;
in:72 out:72 type:B dur:2 cpbdur:2 q:36.03 aq:32.00 tex:1 mv:10 misc:413 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:71 out:73 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:1 mv:12 misc:403 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:36.03 aq:34.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:78 out:75 type:P dur:2 cpbdur:2 q:36.03 aq:23.44 tex:366 mv:112 misc:498 imb:10 pmb:6 smb:8144 d:- ref:0 ;
